minute_idx,BTC,DOGE,ETH,SOL,XRP
172,2155637.0312198168,21898.57395348624,1336535.6799468808,519975.18940550456,89948.45076296295
173,1851178.2510695413,20319.31100146789,1349527.738995046,351053.1676211009,143976.02441636362
174,2216583.1065589907,35327.06776587156,1341615.9190355963,296051.76660733944,95039.17506422018
175,1478965.3851021102,25916.905491926605,1246926.9328044953,549638.0775403669,190822.28701743123
176,2259107.811854495,34796.54843458716,1626707.8641913764,542999.420493578,127607.17613027523
177,2493154.4628074076,22986.341084166666,1380305.4465823148,385337.40219814813,107443.35211759259
178,2452505.5446017273,23680.65417418182,1398384.3644636362,388623.38566181815,121542.69196545455
179,1903622.3259080374,26392.334889345795,1179121.3797506543,348680.2609504673,85039.81693831776
180,3773063.9219649076,27822.00948990741,1409947.4343717592,352976.27848796296,144695.29596018518
181,3744417.1872685323,10310.387720458715,1723452.0956141285,878835.3424587157,99530.13062935781
182,3887813.616279273,14950.748356,1570213.0017364544,665438.8122990909,133284.72622363636
183,3400962.637967027,13854.335713963965,1125864.9227603604,461683.44603423425,104074.47862252253
184,3727034.9521287275,15276.118091636363,1512884.2390012727,1088078.10296,102485.97420000001
185,2398646.4224179997,39855.392303090906,1555457.205037818,367069.54901545454,133090.18908636362
186,2812473.586831651,27924.68281944954,1655704.3487949541,588198.825846789,125992.44711559633
187,3431372.284891743,18567.74241146789,1476904.8838595415,519643.6395981652,96946.52474587156
188,5163017.778929358,23525.62384880734,1449842.237784679,353073.44016605505,90597.95536422018
189,5866625.169930092,11952.413858899083,1258901.0092452294,262223.36802201835,116587.67629174312
190,2652193.306932636,38663.34035236364,1567337.1167785455,512046.2506318182,106081.08066181818
191,2209498.930255273,23428.034074,1431792.2091295454,484317.8463245455,113825.91636454545
192,2159506.759138182,14129.829437272727,1251285.929441909,258781.41534,111315.6342
193,2720896.3571201838,26074.89895715596,1342828.4837061467,562073.0800834862,87431.37686972477
194,2121657.251361818,21246.631804636363,1637362.6579939092,474527.9456788991,100399.27249816514
195,1495399.6359674314,20647.66915990826,1131386.1844773393,587765.208039091,132093.09692454548
196,2257230.7968130554,27514.48444074074,1307337.6824702779,521079.7458166667,112019.5420361111
197,1991583.8001617594,16362.798076296296,1196909.8910585186,278775.6409,87225.4843314815
198,1500341.8526589188,14168.178345495495,1042964.3616396397,394251.26607837836,100225.40990990991
199,1908810.937833211,21335.773438990826,1401289.9267922018,371874.3044074074,152854.27150462964
200,1764410.4990415599,23760.721040733944,1500477.4986066055,378272.17177454545,146738.4833609091
201,1322968.5549836697,28439.258638807336,1439843.9717020183,521791.2495266055,121663.40947614679
202,1876058.7741563637,44509.376112,1419193.5957598183,642897.0417200001,120336.3953
203,2414437.21572,28581.24296972727,1396904.4282082727,476023.9562357798,130879.18235779817
204,2538433.038340818,45510.551706000006,1334117.1991993636,549118.7360702703,158437.18647657658
205,1740033.3076947706,88462.33522559633,2048915.7505530275,420855.93473302753,138759.9376440367
206,2508852.099070273,84597.789827,1582106.1828721818,645233.7435036364,121358.87822090909
207,2166919.942249266,52728.95348211009,1861618.8570165136,567827.0737201835,119613.48398899082
208,2193875.919394091,48179.45287227273,1694980.894231909,631113.1021309091,93000.07811363638
209,2116087.5231799106,29786.266800535715,1498719.4657036606,522771.2905099099,108348.99766756757
210,2819010.6635281653,53040.643324403674,1431437.9787895412,502997.6754363636,150434.57755363637
211,2028498.8895467569,39304.460776486485,1362362.8709294596,508518.69594774774,149003.75523243245
212,2190838.3642774546,32759.677751636365,1327006.4113085454,691335.7026345455,122860.6244090909
213,1795007.8883634545,28729.39748872727,1443683.397874818,405916.63344272727,100848.93457909091
214,1886022.1811695413,36953.69770954129,1385387.167891743,497350.8849211009,121299.79089908257
215,1509551.5154675455,25156.564469090907,1531208.5483743635,528327.9550354546,108594.00264727273
216,1781698.3324469444,35774.268800833335,1352274.4163246294,545000.1077462963,113195.23215185186
217,1628385.1447815741,43993.45327166667,1589443.142418611,599101.4875574074,91203.34411296296
218,1812530.021020909,22768.634749727273,1390428.2116204547,558170.4685709091,87210.51022272729
219,2606226.661372477,19798.57768559633,1398940.3878701834,528236.6329462962,140260.96978425927
220,2513813.289042477,27249.590346055047,1453744.3131961466,671777.4490218181,97007.75921090909
221,1513530.1746207338,26585.9162593578,1446911.6240756882,528268.3650266055,104390.65615045872
222,1911742.7973859091,23634.73423727273,1477770.2706445456,585564.4084945455,95555.87658181819
223,1520608.320435413,31582.79151522936,1439571.3764907338,529035.0711614679,80084.22956513762
224,1567408.008372182,33465.696084636365,1386578.616105273,449441.3181454545,121443.88962636363
225,2133300.5311131533,23277.717665945947,1376692.6201128827,611007.7582864865,95221.37399729728
226,1760478.8566861819,21376.20993990909,1462699.242956909,582543.1251209091,110929.84586818183
227,1151075.6456074312,25365.21645,1075255.3303902752,452923.1209587156,69036.68349082569
228,1868852.6549983486,24005.961596055047,1619634.9016686238,632319.6761302752,52762.539594495414
229,1538011.5511372725,17098.069223727274,1964791.1199874545,603405.5393436364,61158.698114545456
230,1319779.261624273,22638.432469454543,2269693.3798527275,587923.8887618182,123019.55436
231,1715704.819688991,33691.72542,3110937.0797291743,723997.7781275229,214950.7054798165
232,1715562.2239640001,69011.4388749091,3200166.772524454,653345.3593554546,174345.38598000002
233,1859067.6490506364,26559.36137536364,3707529.736429182,663309.6351809091,127862.15860272727
